"cz20","exposure_pp","unemp_rate_pct","bv_quadrant","bv_pvalue","bv_label"
"328",0.611152914180938,2.75534441805226,"LL (low expo, low-unemp neighbors)",0.038038038038038,"LL (low expo, low-unemp neighbors)"
"329",1.4968597400756,2.12843590367307,"HL (high expo, low-unemp neighbors)",0.01001001001001,"HL (high expo, low-unemp neighbors)"
"33",1.06752131726008,5.12820512820513,"HH (high expo, high-unemp neighbors)",0.175175175175175,"Not significant"
"330",0.277046238359847,4.46966594512373,"LL (low expo, low-unemp neighbors)",0.437437437437437,"Not significant"
"331",0.662360091053052,1.37278106508876,"LL (low expo, low-unemp neighbors)",0.0660660660660661,"Not significant"
"332",1.0546207291163,2.35324630414109,"HL (high expo, low-unemp neighbors)",0.003003003003003,"HL (high expo, low-unemp neighbors)"
"333",1.25414256808752,3.73967333039036,"HL (high expo, low-unemp neighbors)",0.011011011011011,"HL (high expo, low-unemp neighbors)"
"334",0.803731325555711,1.41135263212115,"HL (high expo, low-unemp neighbors)",0.021021021021021,"HL (high expo, low-unemp neighbors)"
"335",0.566194638712922,8.79497430039977,"LL (low expo, low-unemp neighbors)",0.003003003003003,"LL (low expo, low-unemp neighbors)"
"336",1.15463500651753,2.73662764598225,"HL (high expo, low-unemp neighbors)",0.01001001001001,"HL (high expo, low-unemp neighbors)"
"337",0.589978216432159,2.90227953581333,"LL (low expo, low-unemp neighbors)",0.01001001001001,"LL (low expo, low-unemp neighbors)"
"338",0.679252188906442,1.17501546072975,"LL (low expo, low-unemp neighbors)",0.00600600600600601,"LL (low expo, low-unemp neighbors)"
"339",1.79283328277861,2.1505376344086,"HL (high expo, low-unemp neighbors)",0.662662662662663,"Not significant"
"34",0.668879131762648,5.85466651360349,"LH (low expo, high-unemp neighbors)",0.047047047047047,"LH (low expo, high-unemp neighbors)"
"340",0.162133167543667,7.38922225223474,"LH (low expo, high-unemp neighbors)",0.189189189189189,"Not significant"
"341",0.125386144572736,4.84679298369016,"LL (low expo, low-unemp neighbors)",0.4004004004004,"Not significant"
"342",0.367571903495258,3.29171301213485,"LH (low expo, high-unemp neighbors)",0.0830830830830831,"Not significant"
"343",0.654291942063264,3.40814642909461,"LL (low expo, low-unemp neighbors)",0.321321321321321,"Not significant"
"344",0.855056033638724,3.6449787619033,"HL (high expo, low-unemp neighbors)",0.926926926926927,"Not significant"
"345",0.620509339391612,3.25001150853934,"LL (low expo, low-unemp neighbors)",0.343343343343343,"Not significant"
"346",0.336172051971979,6.28138585077788,"LH (low expo, high-unemp neighbors)",0.161161161161161,"Not significant"
"347",0.403022492292957,6.25662141229311,"LH (low expo, high-unemp neighbors)",0.048048048048048,"LH (low expo, high-unemp neighbors)"
"348",0.195064832010207,5.35784781965876,"LH (low expo, high-unemp neighbors)",0.137137137137137,"Not significant"
"349",0.222480147783464,5.3198617576527,"LH (low expo, high-unemp neighbors)",0.021021021021021,"LH (low expo, high-unemp neighbors)"
"35",1.50313886214962,4.50833061091147,"HH (high expo, high-unemp neighbors)",0.858858858858859,"Not significant"
"350",0.289737055851527,4.94742919123178,"LH (low expo, high-unemp neighbors)",0.109109109109109,"Not significant"
"351",0.110946665069882,4.86402103360447,"LH (low expo, high-unemp neighbors)",0.457457457457457,"Not significant"
"352",0.655165523381255,4.74260997418406,"LH (low expo, high-unemp neighbors)",0.434434434434434,"Not significant"
"353",0.352802077952311,6.08466620505503,"LH (low expo, high-unemp neighbors)",0.174174174174174,"Not significant"
"354",0.113985514327711,6.52717391304348,"LL (low expo, low-unemp neighbors)",0.663663663663664,"Not significant"
"355",0.0482239066593017,7.31170973062122,"LH (low expo, high-unemp neighbors)",0.417417417417417,"Not significant"
"356",0.0776771580997858,5.01769057574783,"LH (low expo, high-unemp neighbors)",0.576576576576577,"Not significant"
"357",2.7131546605509,2.45787270580659,"HL (high expo, low-unemp neighbors)",0.527527527527528,"Not significant"
"358",0.443092266060758,4.70691198653935,"LH (low expo, high-unemp neighbors)",0.431431431431431,"Not significant"
"359",0.68450996019702,5.03526729725946,"LH (low expo, high-unemp neighbors)",0.385385385385385,"Not significant"
"36",1.13031521917952,5.22246117084827,"HH (high expo, high-unemp neighbors)",0.483483483483483,"Not significant"
"360",0.123621196734028,6.88333906045783,"LH (low expo, high-unemp neighbors)",0.246246246246246,"Not significant"
"361",0.904287449093771,6.27056370549308,"HH (high expo, high-unemp neighbors)",0.379379379379379,"Not significant"
"362",0.570793286065222,5.01692097607315,"LH (low expo, high-unemp neighbors)",0.324324324324324,"Not significant"
"363",1.0796337343295,5.38577753408037,"HH (high expo, high-unemp neighbors)",0.558558558558559,"Not significant"
"364",0.796324650634459,5.79121158242316,"HH (high expo, high-unemp neighbors)",0.419419419419419,"Not significant"
"365",0.521151022095993,4.92225663033495,"LH (low expo, high-unemp neighbors)",0.986986986986987,"Not significant"
"366",0.285370097909137,5.57514609823129,"LH (low expo, high-unemp neighbors)",0.0690690690690691,"Not significant"
"367",0.446232238882089,5.20755881651492,"LH (low expo, high-unemp neighbors)",0.707707707707708,"Not significant"
"368",0.664110935191912,4.80215008579333,"LH (low expo, high-unemp neighbors)",0.438438438438438,"Not significant"
"369",0.840347798706423,4.96103896103896,"HL (high expo, low-unemp neighbors)",0.35035035035035,"Not significant"
"37",1.45964532676818,7.41862642507022,"HH (high expo, high-unemp neighbors)",0.498498498498498,"Not significant"
"370",1.63126703398311,4.56508109857218,"HH (high expo, high-unemp neighbors)",0.651651651651652,"Not significant"
"371",1.5608815942937,4.07871591908531,"HH (high expo, high-unemp neighbors)",0.5995995995996,"Not significant"
"372",0.507526993938612,4.49352816680073,"LH (low expo, high-unemp neighbors)",0.379379379379379,"Not significant"
"373",0.305080257052056,7.00680889695869,"LL (low expo, low-unemp neighbors)",0.880880880880881,"Not significant"
"374",1.05932705172657,6.40266469282013,"HH (high expo, high-unemp neighbors)",0.188188188188188,"Not significant"
"375",0.734409352679038,6.36193298182927,"LH (low expo, high-unemp neighbors)",0.561561561561562,"Not significant"
"376",0.818875490670825,5.76476217294058,"HH (high expo, high-unemp neighbors)",0.532532532532533,"Not significant"
"377",0.253107162651871,4.96940269556621,"LH (low expo, high-unemp neighbors)",0.356356356356356,"Not significant"
"378",0.616975013286261,3.60423056765557,"LH (low expo, high-unemp neighbors)",0.458458458458458,"Not significant"
"379",0.373706622009402,4.66493185343143,"LH (low expo, high-unemp neighbors)",0.205205205205205,"Not significant"
"38",1.0165521456027,5.47242858637648,"HH (high expo, high-unemp neighbors)",0.536536536536537,"Not significant"
"380",0.268406814782993,3.89639141022803,"LH (low expo, high-unemp neighbors)",0.181181181181181,"Not significant"
